Location	Bout	Filename	Date	Time	Manualcount	datetime	timemin	Playback	daysbait	Temp	Humidity	Lux	UVI	Rain	Wind
Alang	pm	Alang_NoFufun_3120001	12.03.2023	17:02	0	2023/03/12:17:02:13	1022	no	0	26.2	99	30005.1	2	0	3.5
Alang	pm	Alang_NoFufun_3120004	12.03.2023	18:24	0	2023/03/12:18:24:05	1104	no	0	26	99	1829.5	0	1.8	0
Alang	pm	Alang_Fufun_2_3120007	12.03.2023	18:26	2	2023/03/12:18:26:31	1107	no	0	25.9	99	1051.6	0	1.8	1.8
Alang	pm	Alang_Fufun_2_3120010	12.03.2023	18:30	2	2023/03/12:18:30:04	1110	no	0	25.7	99	572.7	0	1.8	0
Alang	am	Alang_NoFufun_3130013	13.03.2023	10:35	0	2023/03/13:10:35:43	636	no	1	29.5	83	100129.7	7	0	3.5
Alang	am	Alang_NoFufun_3130016	13.03.2023	10:55	0	2023/03/13:10:55:41	656	no	1	29.9	84	126940.7	9	0	7.2
Alang	am	Alang_NoFufun_3130019	13.03.2023	11:30	0	2023/03/13:11:30:59	691	no	1	30	86	125648.4	9	0	5.5
Alang	am	Alang_NoFufun_3130022	13.03.2023	11:35	0	2023/03/13:11:35:23	695	no	1	29.7	86	22893.4	1	0	3.5
Alang	am	Alang_NoFufun_3130025	13.03.2023	11:39	0	2023/03/13:11:39:00	699	no	1	29.7	86	22893.4	1	0	3.5
Alang	pm	Alang_NoFufun_3130028	13.03.2023	12:11	0	2023/03/13:12:11:34	732	no	1	30.3	85	133027.4	10	0	5.5
Alang	pm	Alang_NoFufun_3130031	13.03.2023	12:15	0	2023/03/13:12:15:28	735	no	1	30.4	84	139193.9	10	0	11.1
Alang	pm	Alang_NoFufun_3130034	13.03.2023	12:19	0	2023/03/13:12:19:16	739	no	1	30.4	84	139193.9	10	0	11.1
Alang	pm	Alang_NoFufun_3130037	13.03.2023	12:22	0	2023/03/13:12:22:09	742	no	1	30.6	85	80458.3	6	0	5.5
Alang	pm	Alang_NoFufun_3130040	13.03.2023	12:50	0	2023/03/13:12:50:03	770	no	1	28.8	89	56860.4	4	0	5.5
Alang	pm	Alang_NoFufun_3130043	13.03.2023	13:51	0	2023/03/13:13:51:17	831	no	1	29.3	88	118721.7	9	0	9.3
Alang	am	Alang_NoFufun_3140046	14.03.2023	10:45	0	2023/03/14:10:45:30	645	no	2	31.6	81	126897.7	9	0	5.5
Alang	am	Alang_NoFufun_3140049	14.03.2023	11:14	0	2023/03/14:11:14:29	674	no	2	30.1	87	120996	9	0	9.3
Alang	am	Alang_NoFufun_3140052	14.03.2023	11:17	0	2023/03/14:11:17:52	678	no	2	30.9	84	112553.9	8	0	11.1
Alang	am	Alang_NoFufun_3140055	14.03.2023	11:22	0	2023/03/14:11:22:22	682	no	2	30.4	85	114775	8	0	13
Alang	am	Alang_NoFufun_3140058	14.03.2023	11:25	0	2023/03/14:11:25:15	685	no	2	30.7	85	115872.2	8	0	13
Alang	am	Alang_NoFufun_3140061	14.03.2023	11:28	0	2023/03/14:11:28:18	688	no	2	30.7	85	115872.2	8	0	13
Alang	am	Alang_NoFufun_3140064	14.03.2023	11:38	0	2023/03/14:11:38:33	699	no	2	31	83	114625.5	8	0	9.3
Alang	am	Alang_NoFufun_3140067	14.03.2023	11:42	0	2023/03/14:11:42:25	702	no	2	30.7	84	115537.7	8	0	9.3
Alang	am	Alang_NoFufun_3140070	14.03.2023	11:46	0	2023/03/14:11:46:35	707	no	2	30.8	84	116296.7	8	0	11.1
Alang	am	Alang_NoFufun_3140073	14.03.2023	11:49	0	2023/03/14:11:49:39	710	no	2	30.8	84	116296.7	8	0	11.1
Alang	am	Alang_NoFufun_3140076	14.03.2023	11:55	0	2023/03/14:11:55:52	716	no	2	31	83	116486.7	8	0	11.1
Alang	am	Alang_NoFufun_3140079	14.03.2023	11:59	0	2023/03/14:11:59:48	720	no	2	31	83	116486.7	8	0	11.1
Alang	pm	Alang_NoFufun_3140082	14.03.2023	12:03	0	2023/03/14:12:03:35	724	no	2	31.1	83	117752.4	9	0	13
Alang	pm	Alang_NoFufun_3140085	14.03.2023	12:12	0	2023/03/14:12:12:42	733	no	2	30.5	84	120226.9	9	0	13
Alang	pm	Alang_NoFufun_3140088	14.03.2023	12:15	0	2023/03/14:12:15:09	735	no	2	30.5	83	118265.6	9	0	14.8
Alang	pm	Alang_NoFufun_3140091	14.03.2023	12:19	0	2023/03/14:12:19:04	739	no	2	30.5	83	118265.6	9	0	14.8
Alang	pm	Alang_NoFufun_3140094	14.03.2023	12:27	0	2023/03/14:12:27:37	748	no	2	30.2	84	114756	8	0	9.3
Alang	pm	Alang_NoFufun_3140097	14.03.2023	12:34	0	2023/03/14:12:34:57	755	no	2	30.3	83	116185.2	8	0	14.8
Alang	pm	Alang_NoFufun_3140100	14.03.2023	12:42	0	2023/03/14:12:42:59	763	no	2	30.2	83	117050.5	9	0	13
Alang	pm	Alang_NoFufun_3140103	14.03.2023	12:49	0	2023/03/14:12:49:48	770	no	2	30.1	83	117131.6	9	0	18.3
Alang	pm	Alang_NoFufun_3140106	14.03.2023	12:53	0	2023/03/14:12:53:37	774	no	2	30	83	116991	8	0	14.8
