Datetime	Temp	Hum	Lux	UVI	Rain	Wind	timemin
2022/04/06:00:00:00	23.6	99	0.0	0	0.0	0.0	0
2022/04/06:00:05:00	23.5	99	0.0	0	0.0	0.0	5
2022/04/06:00:10:00	23.7	99	0.0	0	0.0	0.0	10
2022/04/06:00:15:00	23.8	99	0.0	0	0.0	0.0	15
2022/04/06:00:20:00	23.8	99	0.0	0	0.0	0.0	20
2022/04/06:00:25:00	23.7	99	0.0	0	0.0	1.8	25
2022/04/06:00:30:00	23.6	99	0.0	0	0.0	3.5	30
2022/04/06:00:35:00	23.4	99	0.0	0	0.0	3.5	35
2022/04/06:00:40:00	23.5	99	0.0	0	0.0	3.5	40
2022/04/06:00:45:00	23.6	99	0.0	0	0.0	3.5	45
2022/04/06:00:50:00	23.7	99	0.0	0	0.0	1.8	50
2022/04/06:00:55:00	23.7	99	0.0	0	0.0	1.8	55
2022/04/06:01:00:00	23.8	99	0.0	0	0.0	3.5	60
2022/04/06:01:05:00	23.8	99	0.0	0	0.0	1.8	65
2022/04/06:01:10:00	23.9	99	0.0	0	0.0	1.8	70
2022/04/06:01:15:00	23.9	99	0.0	0	0.0	3.5	75
2022/04/06:01:20:00	23.8	99	0.0	0	0.0	3.5	80
2022/04/06:01:25:00	23.7	99	0.0	0	0.0	3.5	85
2022/04/06:01:30:00	23.6	99	0.0	0	0.0	1.8	90
2022/04/06:01:35:00	23.6	99	0.0	0	0.0	3.5	95
2022/04/06:01:40:00	23.6	99	0.0	0	0.0	1.8	100
2022/04/06:01:45:00	23.7	99	0.0	0	0.0	1.8	105
2022/04/06:01:50:00	23.7	99	0.0	0	0.0	1.8	110
2022/04/06:01:55:00	23.7	99	0.0	0	0.0	3.5	115
2022/04/06:02:00:00	23.7	99	0.0	0	0.0	1.8	120
2022/04/06:02:05:00	23.6	99	0.0	0	0.0	3.5	125
2022/04/06:02:10:00	23.6	99	0.0	0	0.0	3.5	130
2022/04/06:02:15:00	23.6	99	0.0	0	0.0	3.5	135
2022/04/06:02:20:00	23.6	99	0.0	0	0.0	3.5	140
2022/04/06:02:25:00	23.6	99	0.0	0	0.0	3.5	145
2022/04/06:02:30:00	23.6	99	0.0	0	0.0	3.5	150
2022/04/06:02:35:00	23.6	99	0.0	0	0.0	3.5	155
2022/04/06:02:40:00	23.6	99	0.0	0	0.0	5.5	160
2022/04/06:02:45:00	23.7	99	0.0	0	0.0	3.5	165
2022/04/06:02:50:00	23.8	99	0.0	0	0.0	5.5	170
2022/04/06:02:55:00	23.8	99	0.0	0	0.0	5.5	175
2022/04/06:03:00:00	23.9	99	0.0	0	0.0	5.5	180
2022/04/06:03:05:00	23.9	99	0.0	0	0.0	5.5	185
2022/04/06:03:10:00	23.9	99	0.0	0	0.0	3.5	190
2022/04/06:03:15:00	23.8	99	0.0	0	0.0	1.8	195
2022/04/06:03:20:00	23.8	99	0.0	0	0.0	1.8	200
2022/04/06:03:25:00	23.7	99	0.0	0	0.0	1.8	205
2022/04/06:03:30:00	23.7	99	0.0	0	0.0	0.0	210
2022/04/06:03:35:00	23.7	99	0.0	0	0.0	1.8	215
2022/04/06:03:40:00	23.7	99	0.0	0	0.0	1.8	220
2022/04/06:03:45:00	23.7	99	0.0	0	0.0	0.0	225
2022/04/06:03:50:00	23.7	99	0.0	0	0.0	0.0	230
2022/04/06:03:55:00	23.7	99	0.0	0	0.0	1.8	235
2022/04/06:04:00:00	23.7	99	0.0	0	0.0	1.8	240
2022/04/06:04:05:00	23.7	99	0.0	0	0.0	1.8	245
2022/04/06:04:10:00	23.7	99	0.0	0	0.0	1.8	250
2022/04/06:04:15:00	23.8	99	0.0	0	0.0	1.8	255
2022/04/06:04:20:00	23.8	99	0.0	0	0.0	0.0	260
2022/04/06:04:25:00	23.7	99	0.0	0	0.0	0.0	265
2022/04/06:04:30:00	23.7	99	0.0	0	0.0	0.0	270
2022/04/06:04:35:00	23.7	99	0.0	0	0.0	0.0	275
2022/04/06:04:40:00	23.6	99	0.0	0	0.0	0.0	280
2022/04/06:04:45:00	23.5	99	0.0	0	0.0	0.0	285
2022/04/06:04:50:00	23.4	99	0.0	0	0.0	0.0	290
2022/04/06:04:55:00	23.3	99	0.0	0	0.0	0.0	295
2022/04/06:05:00:00	23.2	99	0.0	0	0.0	0.0	300
2022/04/06:05:05:00	23.1	99	0.0	0	0.0	0.0	305
2022/04/06:05:10:00	23.1	99	0.0	0	0.0	0.0	310
2022/04/06:05:15:00	23.1	99	0.0	0	0.0	0.0	315
2022/04/06:05:20:00	23.1	99	0.0	0	0.0	0.0	320
2022/04/06:05:25:00	23.1	99	0.0	0	0.0	0.0	325
2022/04/06:05:30:00	23.2	99	0.0	0	0.0	0.0	330
2022/04/06:05:35:00	23.2	99	0.0	0	0.0	0.0	335
2022/04/06:05:40:00	23.2	99	0.0	0	0.0	0.0	340
2022/04/06:05:45:00	23.2	99	0.0	0	0.0	0.0	345
2022/04/06:05:50:00	23.1	99	1.3	0	0.0	0.0	350
2022/04/06:05:55:00	23.2	99	6.3	0	0.0	0.0	355
2022/04/06:06:00:00	23.2	99	30.4	0	0.0	0.0	360
2022/04/06:06:05:00	23.2	99	87.4	0	0.0	0.0	365
2022/04/06:06:10:00	23.4	99	214.1	0	0.0	0.0	370
2022/04/06:06:15:00	23.7	99	516.9	0	0.0	0.0	375
2022/04/06:06:20:00	23.8	99	884.4	0	0.0	0.0	380
2022/04/06:06:25:00	24.0	99	1396.2	0	0.0	0.0	385
2022/04/06:06:30:00	24.1	99	1914.4	0	0.0	0.0	390
2022/04/06:06:35:00	24.2	99	2416.2	0	0.0	0.0	395
2022/04/06:06:40:00	24.2	99	2855.8	0	0.0	0.0	400
2022/04/06:06:45:00	24.5	98	3436.1	0	0.0	0.0	405
2022/04/06:06:50:00	25.2	96	3925.2	0	0.0	0.0	410
2022/04/06:06:55:00	25.6	96	4534.6	0	0.0	0.0	415
2022/04/06:07:00:00	26.0	93	5165.6	0	0.0	0.0	420
2022/04/06:07:05:00	26.2	92	5685.0	0	0.0	0.0	425
2022/04/06:07:10:00	26.6	91	6389.5	0	0.0	0.0	430
2022/04/06:07:15:00	26.8	91	7095.2	0	0.0	0.0	435
2022/04/06:07:20:00	27.0	91	7941.6	0	0.0	1.8	440
2022/04/06:07:25:00	27.1	90	9625.4	0	0.0	1.8	445
2022/04/06:07:30:00	27.6	89	11623.5	0	0.0	0.0	450
2022/04/06:07:35:00	27.8	88	14347.5	1	0.0	1.8	455
2022/04/06:07:40:00	27.8	88	17497.3	1	0.0	1.8	460
2022/04/06:07:45:00	27.9	87	20007.2	1	0.0	1.8	465
2022/04/06:07:50:00	28.1	85	21792.4	1	0.0	3.5	470
2022/04/06:07:55:00	28.3	86	25014.4	1	0.0	3.5	475
2022/04/06:08:00:00	28.5	86	27121.4	2	0.0	3.5	480
2022/04/06:08:05:00	28.3	85	29997.5	2	0.0	7.2	485
2022/04/06:08:10:00	27.8	87	32102.0	2	0.0	5.5	490
2022/04/06:08:15:00	28.2	86	34515.6	2	0.0	3.5	495
2022/04/06:08:20:00	28.4	84	37398.0	2	0.0	5.5	500
2022/04/06:08:25:00	28.5	85	40557.9	3	0.0	7.2	505
2022/04/06:08:30:00	28.6	84	42768.9	3	0.0	3.5	510
2022/04/06:08:35:00	28.6	83	47844.5	3	0.0	3.5	515
2022/04/06:08:40:00	28.7	83	49022.8	3	0.0	5.5	520
2022/04/06:08:45:00	28.9	82	50952.4	3	0.0	9.3	525
2022/04/06:08:50:00	28.5	83	58788.8	4	0.0	5.5	530
2022/04/06:08:55:00	28.6	81	61292.4	4	0.0	7.2	535
2022/04/06:09:00:00	29.2	79	63546.4	4	0.0	5.5	540
2022/04/06:09:05:00	29.0	79	66493.4	5	0.0	5.5	545
2022/04/06:09:10:00	28.8	81	69582.4	5	0.0	7.2	550
2022/04/06:09:15:00	29.1	80	73994.1	5	0.0	5.5	555
2022/04/06:09:20:00	29.2	80	78448.8	6	0.0	7.2	560
2022/04/06:09:25:00	29.0	81	78064.9	6	0.0	7.2	565
2022/04/06:09:30:00	29.7	79	78750.4	6	0.0	3.5	570
2022/04/06:09:35:00	29.5	77	84422.7	6	0.0	9.3	575
2022/04/06:09:40:00	29.3	79	81691.1	6	0.0	7.2	580
2022/04/06:09:45:00	29.4	77	84568.4	6	0.0	7.2	585
2022/04/06:09:50:00	30.0	76	89579.4	6	0.0	9.3	590
2022/04/06:09:55:00	30.1	75	92306.0	7	0.0	7.2	595
2022/04/06:10:00:00	29.4	77	98667.6	7	0.0	5.5	600
2022/04/06:10:05:00	29.9	75	93950.6	7	0.0	7.2	605
2022/04/06:10:10:00	30.1	74	97645.2	7	0.0	5.5	610
2022/04/06:10:15:00	30.2	72	102168.3	7	0.0	7.2	615
2022/04/06:10:20:00	30.3	71	103858.5	7	0.0	11.1	620
2022/04/06:10:25:00	30.2	69	102809.4	7	0.0	7.2	625
2022/04/06:10:30:00	30.1	73	106466.0	8	0.0	9.3	630
2022/04/06:10:35:00	30.4	73	107360.5	8	0.0	7.2	635
2022/04/06:10:40:00	30.0	75	113093.7	8	0.0	5.5	640
2022/04/06:10:45:00	30.8	75	110218.9	8	0.0	5.5	645
2022/04/06:10:50:00	31.6	73	112638.8	8	0.0	5.5	650
2022/04/06:10:55:00	31.2	71	110516.6	8	0.0	11.1	655
2022/04/06:11:00:00	30.9	72	120106.5	9	0.0	7.2	660
2022/04/06:11:05:00	30.7	72	100234.9	7	0.0	5.5	665
2022/04/06:11:10:00	30.0	73	107507.5	8	0.0	5.5	670
2022/04/06:11:15:00	30.2	70	107521.4	8	0.0	7.2	675
2022/04/06:11:20:00	30.4	71	109960.4	8	0.0	5.5	680
2022/04/06:11:25:00	30.6	71	108237.3	8	0.0	5.5	685
2022/04/06:11:30:00	30.5	71	110170.7	8	0.0	5.5	690
2022/04/06:11:35:00	30.5	71	113919.8	8	0.0	9.3	695
2022/04/06:11:40:00	30.7	68	110317.7	8	0.0	7.2	700
2022/04/06:11:45:00	30.4	71	111580.9	8	0.0	14.8	705
2022/04/06:11:50:00	30.3	74	111693.7	8	0.0	9.3	710
2022/04/06:11:55:00	30.7	73	112005.3	8	0.0	13.0	715
2022/04/06:12:00:00	30.8	72	111777.3	8	0.0	7.2	720
2022/04/06:12:05:00	31.1	72	112071.2	8	0.0	7.2	725
2022/04/06:12:10:00	31.1	71	112157.4	8	0.0	5.5	730
2022/04/06:12:15:00	31.1	70	112143.4	8	0.0	9.3	735
2022/04/06:12:20:00	31.3	69	112268.9	8	0.0	7.2	740
2022/04/06:12:25:00	31.2	69	112545.1	8	0.0	5.5	745
2022/04/06:12:30:00	31.1	67	112566.6	8	0.0	9.3	750
2022/04/06:12:35:00	31.1	68	112436.1	8	0.0	7.2	755
2022/04/06:12:40:00	30.8	69	112381.6	8	0.0	9.3	760
2022/04/06:12:45:00	30.7	70	112304.3	8	0.0	7.2	765
2022/04/06:12:50:00	30.4	70	111707.6	8	0.0	9.3	770
2022/04/06:12:55:00	30.7	68	111393.4	8	0.0	11.1	775
2022/04/06:13:00:00	30.7	67	110885.3	8	0.0	11.1	780
2022/04/06:13:05:00	30.8	64	110393.7	8	0.0	7.2	785
2022/04/06:13:10:00	31.1	66	109912.3	8	0.0	7.2	790
2022/04/06:13:15:00	31.3	64	109092.5	8	0.0	7.2	795
2022/04/06:13:20:00	31.3	64	108651.6	8	0.0	9.3	800
2022/04/06:13:25:00	31.2	62	107938.3	8	0.0	5.5	805
2022/04/06:13:30:00	31.5	62	107151.5	8	0.0	5.5	810
2022/04/06:13:35:00	31.6	64	106104.9	8	0.0	5.5	815
2022/04/06:13:40:00	31.1	64	105110.3	8	0.0	5.5	820
2022/04/06:13:45:00	31.1	65	103815.4	7	0.0	5.5	825
2022/04/06:13:50:00	30.9	66	103290.9	7	0.0	7.2	830
2022/04/06:13:55:00	31.1	63	102284.9	7	0.0	9.3	835
2022/04/06:14:00:00	31.1	65	100797.5	7	0.0	11.1	840
2022/04/06:14:05:00	31.2	65	100241.2	7	0.0	9.3	845
2022/04/06:14:10:00	31.0	67	98794.3	7	0.0	9.3	850
2022/04/06:14:15:00	30.8	67	96925.5	7	0.0	11.1	855
2022/04/06:14:20:00	30.9	66	95762.4	7	0.0	5.5	860
2022/04/06:14:25:00	30.8	66	94739.9	7	0.0	7.2	865
2022/04/06:14:30:00	30.8	66	92867.3	7	0.0	3.5	870
2022/04/06:14:35:00	31.0	65	91099.8	7	0.0	5.5	875
2022/04/06:14:40:00	30.9	66	89569.3	6	0.0	7.2	880
2022/04/06:14:45:00	30.8	66	87751.2	6	0.0	7.2	885
2022/04/06:14:50:00	30.6	67	86461.3	6	0.0	7.2	890
2022/04/06:14:55:00	30.5	69	84227.6	6	0.0	11.1	895
2022/04/06:15:00:00	30.4	69	82235.9	6	0.0	7.2	900
2022/04/06:15:05:00	30.3	68	80250.5	6	0.0	13.0	905
2022/04/06:15:10:00	30.0	70	78603.4	6	0.0	9.3	910
2022/04/06:15:15:00	30.0	71	76178.4	5	0.0	9.3	915
2022/04/06:15:20:00	29.8	72	74166.4	5	0.0	9.3	920
2022/04/06:15:25:00	29.9	74	72354.6	5	0.0	9.3	925
2022/04/06:15:30:00	29.9	75	69821.8	5	0.0	11.1	930
2022/04/06:15:35:00	30.0	74	67343.6	5	0.0	9.3	935
2022/04/06:15:40:00	29.9	75	65828.3	5	0.0	9.3	940
2022/04/06:15:45:00	29.8	74	63456.4	4	0.0	11.1	945
2022/04/06:15:50:00	29.6	74	61102.3	4	0.0	7.2	950
2022/04/06:15:55:00	29.7	74	58431.5	4	0.0	9.3	955
2022/04/06:16:00:00	29.4	75	56525.9	4	0.0	11.1	960
2022/04/06:16:05:00	29.5	74	53796.8	4	0.0	13.0	965
2022/04/06:16:10:00	29.3	75	51455.4	3	0.0	9.3	970
2022/04/06:16:15:00	29.3	75	48736.4	3	0.0	5.5	975
2022/04/06:16:20:00	29.4	76	45460.0	3	0.0	7.2	980
2022/04/06:16:25:00	29.4	77	42758.7	3	0.0	7.2	985
2022/04/06:16:30:00	29.5	76	40843.0	3	0.0	3.5	990
2022/04/06:16:35:00	29.4	75	37792.1	2	0.0	7.2	995
2022/04/06:16:40:00	29.3	76	34847.6	2	0.0	3.5	1000
2022/04/06:16:45:00	29.3	76	32160.3	2	0.0	7.2	1005
2022/04/06:16:50:00	29.2	76	28427.7	2	0.0	7.2	1010
2022/04/06:16:55:00	29.1	76	26225.6	2	0.0	3.5	1015
2022/04/06:17:00:00	28.9	77	24240.2	1	0.0	7.2	1020
2022/04/06:17:05:00	28.8	78	21960.9	1	0.0	3.5	1025
2022/04/06:17:10:00	28.8	77	20017.3	1	0.0	9.3	1030
2022/04/06:17:15:00	28.6	77	19011.3	1	0.0	3.5	1035
2022/04/06:17:20:00	28.5	78	15316.8	1	0.0	5.5	1040
2022/04/06:17:25:00	28.4	78	13496.1	1	0.0	5.5	1045
